NBA players are the most spoiled of all athletes since they make the most money,Opinion
I think you should get a new haircut.,Opinion
There are nine innings in a game of baseball according to the MLB rule book,Fact
There are 12 months in the year.,Fact
Thanksgiving is celebrated in autumn.,Fact
Some families eat turkey on Thanksgiving.,Fact
"""Ohio Gov. John Kasich, who is also seeking the Republican nomination, has said he would not have signed the North Carolina law.""",Fact
Horse manure smells awful.,Opinion
George Washington was born in February.,Fact
The best dish to eat for dinner is spaghetti.,Opinion
Fridays are the best weekday of the week.,Opinion
A Tale of Two Cities is a novel by Charles Dickens that was set in London and Paris before and during the French Revolution.,Fact
Good workers will ask good questions.,Opinion
Mark Twain was born on November 30.,Fact
"""Carbon dioxide, a byproduct of fossil-fuel combustion, is a greenhouse gas, which traps solar radiation in the atmosphere.""",Fact
Copying homework assignments is wrong.,Opinion
Cursing in school is inappropriate behavior.,Opinion
Vegetarians are healthier than people who eat meat.,Opinion
We can do better.,Opinion
That would be wrong.,Opinion
That is a hard thing to do.,Opinion
John said it's not a good idea.,Fact
It's not a good idea.,Opinion
I agree what John said that it's not a good idea.,Opinion
Michael concurred with John's belief that it's not a good idea.,Fact
She is one of the most cockiest conversationalists I've ever met.,Opinion
It's as if all conversation rides back and forth over two lines.,Opinion
Cold water is the most refreshing drink.,Opinion
Burger King has the best french fries.,Opinion
Machine learning is far better than anything else.,Opinion
The stunning diva rocked a plunging black dress that left very little to the imagination.,Opinion
The woman wore a black dress that did not fully cover her body.,Fact
The Darkside is the most poorly balanced raid boss.,Opinion
Massdrop is a service that allows for large group purchases to be made.,Fact
Massdrop is a terrible service.,Opinion
I swear Massdrop is run by the dirtiest scumbags I've ever known.,Opinion
The Spectrum Spy software allows the Airspy to be used as wideband spectrum analyzer.,Opinion
I hate you.,Opinion
I love you.,Opinion
Jack hates Jill.,Fact
Jack loves Jill.,Fact
He loves me.,Opinion
She loves me.,Opinion
He told me she loved me.,Fact
She told me she loves him.,Fact
This will be the most exciting game you've ever played!,Opinion
Keyblades have five evolutions instead of three and max out at level 50.,Fact
"""Listen to me, you have to go for that job!""",Opinion
She got the job.,Fact
MT63 distributes the encoding of each character over a long time period and over several tones.,Fact
This file contains additional information.,Fact
A circularly polarized antenna is required to receive clear APT images.,Fact
Good antennas to consider are Quadrafilar Helix or Turnstile.,Opinion
A woman speaking Chinese has been heard on this frequency before.,Fact
STANAG 4415 is a NATO standard for digital data communication on severely degraded HF channels with large Doppler and multipath spreads.,Fact
FUNcube-1 Telemetry is a telemetry signal sent from the Funcube-1 Cubesat amateur radio satellite.,Fact
"""Wow, she is so hot!""",Opinion
Wow this picture is absolutely amazing.,Opinion
The other shirt would have looked better on you.,Opinion
You shouldn't joke during a serious discussion.,Opinion
Is it me or does the Afro guy look like Danny bang?,Opinion
The bridge is unstable.,Fact
The car is red.,Fact
The school is 5 miles west of Brooklyn.,Fact
The Metropolitan Transportation Authority is a state agency.,Fact
New York is a city.,Fact
New York is one of the largest cities in the world.,Fact
New York City is too big.,Opinion
Rats live in the tunnels of New York's subway system.,Fact
Subway cars are often very packed during morning commutes.,Fact
The United States of America is composed of 50 states.,Fact
Apples tend to be the color red when they are ripe.,Fact
Research has found a link between obesity and cancer.,Fact
The glasses are behind the shelf.,Fact
The Stranger was written by Albert Camus.,Fact
There are 125 entries in this file.,Fact
Dogs are better than cats.,Opinion
Cats are better than dogs.,Opinion
Dogs and cats are equally as good.,Opinion
